Id,Label,Description,Area
I Ilyas,Ihab F. Ilyas,898.6095238095238,db
MF Balcan,MF Balcan,300.1,Unknown
Z Chen,Z Chen,847.8166666666668,Unknown
SC Khoo,SC Khoo,1738.5047619047614,Unknown
H Cheng,H Cheng,536.5666666666666,Unknown
TT Nguyen,TT Nguyen,401.6,Unknown
TN Nguyen,TN Nguyen,401.6,Unknown
V Le,V Le,493.83333333333326,Unknown
Z Su,Z Su,1069.1555555555553,Unknown
T Gu,T Gu,321.81746031746025,Unknown
X Ma,X Ma,708.7365079365076,Unknown
T Liu,T Liu,243.85714285714292,Unknown
H Liu,H Liu,499.811111111111,Unknown
J Liang,J Liang,297.1190476190477,Unknown
S Ma,S Ma,1571.904761904762,Unknown
Y Zhang,Yizhou Zhang,886.6952380952382,pl
L Ahn,L Ahn,445.0,Unknown
L Von Ahn,L Von Ahn,884.0,Unknown
ELM Law,ELM Law,586.7666666666665,Unknown
RB Dannenberg,RB Dannenberg,432.0,Unknown
M Crawford,M Crawford,432.0,Unknown
R Miller,R Miller,333.33333333333337,Unknown
K Gajos,K Gajos,333.33333333333337,Unknown
D Parkes,D Parkes,333.33333333333337,Unknown
K West,K West,310.4,Unknown
MI Mandel,MI Mandel,310.4,Unknown
M Bay,M Bay,246.4,Unknown
JS Downie,JS Downie,246.4,Unknown
J Goh,J Goh,524.2285714285714,Unknown
K Chen,K Chen,428.13888888888886,Unknown
KZ Gajos,KZ Gajos,315.19999999999993,Unknown
AC Williams,AC Williams,380.1333333333333,Unknown
M Schaekermann,M Schaekermann,440.73333333333323,Unknown
S Sasy,S Sasy,312.95238095238096,Unknown
A Lim,A Lim,221.33333333333331,Unknown
P Jaini,P Jaini,462.9880952380953,Unknown
H Chen,H Chen,596.2000000000002,Unknown
M Singh,M Singh,874.3333333333333,Unknown
LC Lau,LC Lau,2497.1666666666674,Unknown
B Li,B Li,659.8333333333334,Unknown
D Jiang,D Jiang,349.16666666666663,Unknown
J Naor,J Naor,225.0,Unknown
TC Kwok,TC Kwok,325.1333333333333,Unknown
YT Lee,YT Lee,908.2738095238094,Unknown
HY Cheung,HY Cheung,202.66666666666663,Unknown
D Subhraveti,D Subhraveti,273.0,Unknown
P Sarkar,P Sarkar,380.20000000000005,Unknown
M Ripeanu,M Ripeanu,1090.9666666666672,Unknown
TS Pillai,TS Pillai,279.0,Unknown
V Chidambaram,V Chidambaram,279.0,Unknown
R Alagappan,R Alagappan,279.0,Unknown
A Gharaibeh,A Gharaibeh,604.4666666666667,Unknown
E Santos-Neto,E Santos-Neto,235.40000000000003,Unknown
LB Costa,LB Costa,247.29999999999998,Unknown
A Iosup,A Iosup,237.57142857142856,Unknown
D Zhao,D Zhao,1144.895238095238,Unknown
A Tootoonchian,A Tootoonchian,1152.0,Unknown
Y Ganjali,Y Ganjali,1152.0,Unknown
M Casado,M Casado,1152.0,Unknown
R Sherwood,R Sherwood,1152.0,Unknown
V Vaikuntanathan,V Vaikuntanathan,1850.8333333333335,Unknown
H Wee,H Wee,1695.5,Unknown
C Gentry,C Gentry,1112.0,Unknown
V Nikolaenko,V Nikolaenko,1353.3333333333335,Unknown
G Segev,G Segev,680.0,Unknown
M Albrecht,M Albrecht,390.0,Unknown
J Ding,J Ding,546.6666666666667,Unknown
S Goldwasser,S Goldwasser,510.0,Unknown
CW Fletcher,CW Fletcher,250.66666666666666,Unknown
S Agrawal,S Agrawal,268.5,Unknown
B Fisch,B Fisch,222.0,Unknown
D Vinayagamurthy,D Vinayagamurthy,357.3333333333333,Unknown
C Boyd,C Boyd,1772.3333333333328,Unknown
A Mathuria,A Mathuria,1278.666666666667,Unknown
D Stebila,Douglas Stebila,6130.3666666666695,security
JW Bos,JW Bos,615.0,Unknown
J Bos,J Bos,818.3333333333331,Unknown
L Ducas,L Ducas,818.3333333333331,Unknown
K Cohn-Gordon,K Cohn-Gordon,512.0,Unknown
C Cremers,C Cremers,573.6666666666667,Unknown
B Dowling,B Dowling,1068.9333333333334,Unknown
L Garratt,L Garratt,512.0,Unknown
V Gupta,V Gupta,976.7619047619048,Unknown
S Gupta,S Gupta,752.0285714285712,Unknown
S Chang,S Chang,461.66666666666663,Unknown
N Gura,N Gura,526.0952380952381,Unknown
SC Shantz,SC Shantz,836.4285714285716,Unknown
H Eberle,H Eberle,526.0952380952381,Unknown
D Finchelstein,D Finchelstein,339.4285714285714,Unknown
E Goupy,E Goupy,339.4285714285714,Unknown
DJ Stebila,DJ Stebila,224.0,Unknown
PV Udupi,PV Udupi,224.0,Unknown
M Fischlin,M Fischlin,433.80000000000007,Unknown
F Günther,F Günther,466.59999999999997,Unknown
J Rangasamy,J Rangasamy,217.0,Unknown
B Poettering,B Poettering,200.33333333333334,Unknown
F Kerschbaum,Florian Kerschbaum,6305.733333333336,security
P Valduriez,P Valduriez,5580.499999999999,Unknown
V Oria,V Oria,2809.719047619048,Unknown
S Bechhofer,S Bechhofer,604.3333333333334,Unknown
G Aluç,G Aluç,655.0,Unknown
O Hartig,O Hartig,588.5,Unknown
C Balkesen,C Balkesen,1047.6666666666667,Unknown
J Teubner,J Teubner,1060.5,Unknown
J Mo,J Mo,460.8,Unknown
J Cheng,J Cheng,511.5,Unknown
Y Ke,Y Ke,396.0,Unknown
S Chu,S Chu,396.0,Unknown
M Han,M Han,410.0,Unknown
K Ammar,K Ammar,818.5,Unknown
T Jin,T Jin,410.0,Unknown
Ş Gündüz,Ş Gündüz,296.0,Unknown
F Li,F Li,381.0,Unknown
BC Ooi,BC Ooi,488.20000000000005,Unknown
S Wu,S Wu,625.3428571428573,Unknown
DD Straube,DD Straube,367.6666666666667,Unknown
AA Farrag,AA Farrag,234.0,Unknown
BB Yao,BB Yao,409.3333333333333,Unknown
MT Ozsu,MT Ozsu,3433.7857142857147,Unknown
N Khandelwal,N Khandelwal,257.3333333333333,Unknown
P Refaeilzadeh,P Refaeilzadeh,277.5,Unknown
L Tang,L Tang,277.5,Unknown
X Shen,X Shen,322.0952380952381,Unknown
R Huang,R Huang,373.3666666666667,Unknown
AP Buchmann,AP Buchmann,264.0,Unknown
D Georgakopoulos,D Georgakopoulos,264.0,Unknown
F Manola,F Manola,264.0,Unknown
D Kossmann,D Kossmann,315.20000000000005,Unknown
E Lo,E Lo,307.20000000000005,Unknown
RCW Wong,RCW Wong,554.6666666666666,Unknown
PS Yu,PS Yu,305.06666666666666,Unknown
AWC Fu,AWC Fu,305.06666666666666,Unknown
S Sahu,S Sahu,1169.4,Unknown
A Mhedhbi,A Mhedhbi,1144.5333333333333,Unknown
U Dayal,U Dayal,206.66666666666669,Unknown
HB Lim,HB Lim,202.5,Unknown
TM Özsu,TM Özsu,204.5,Unknown
KL Tan,KL Tan,209.16666666666666,Unknown
D Szafron,D Szafron,1655.1333333333334,Unknown
T Özsu,T Özsu,385.0,Unknown
A Dogac,A Dogac,277.1666666666667,Unknown
P Peng,P Peng,201.5,Unknown
RJ Peters,RJ Peters,285.66666666666674,Unknown
A Lipka,A Lipka,227.16666666666666,Unknown
Y Leontiev,Y Leontiev,375.40000000000003,Unknown
Q Wan,Q Wan,249.6,Unknown
N Tang,N Tang,912.9666666666664,Unknown
JX Yu,JX Yu,211.29999999999998,Unknown
IA Goralwalla,IA Goralwalla,516.0666666666667,Unknown
S Sakr,S Sakr,217.0,Unknown
A Bonifati,A Bonifati,251.66666666666669,Unknown
R Angles,R Angles,217.0,Unknown
M Arenas,M Arenas,217.0,Unknown
PJ Iglinski,PJ Iglinski,240.31904761904764,Unknown
Z Jiang,Z Jiang,280.20000000000005,Unknown
JD Ullman,JD Ullman,445.29999999999995,Unknown
WG Aref,WG Aref,1783.1904761904757,Unknown
J Widom,J Widom,1140.8666666666663,Unknown
FN Afrati,FN Afrati,339.5,Unknown
AD Sarma,AD Sarma,362.83333333333337,Unknown
M Joglekar,M Joglekar,222.29999999999998,Unknown
C Ré,C Ré,704.3,Unknown
J Ullman,J Ullman,464.9,Unknown
P Gupta,P Gupta,1612.5476190476186,Unknown
A Machanavajjhala,A Machanavajjhala,1279.1666666666665,Unknown
B Ding,B Ding,295.5,Unknown
G Cormode,G Cormode,296.0,Unknown
CM Procopiuc,CM Procopiuc,296.0,Unknown
G Kamath,Gautam Kamath,3331.5166666666664,ml
T Hachisuka,Toshiya Hachisuka,2742.442857142858,graphics
S Ogaki,S Ogaki,449.3333333333333,Unknown
HW Jensen,HW Jensen,1235.0666666666662,Unknown
W Jarosz,W Jarosz,561.4000000000001,Unknown
RP Weistroffer,RP Weistroffer,343.33333333333337,Unknown
K Dale,K Dale,343.33333333333337,Unknown
G Humphreys,G Humphreys,343.33333333333337,Unknown
M Zwicker,M Zwicker,367.33333333333337,Unknown
J Pantaleoni,J Pantaleoni,229.06666666666663,Unknown
S Fujieda,S Fujieda,231.0,Unknown
J Křivánek,J Křivánek,244.86666666666667,Unknown
I Georgiev,I Georgiev,374.26666666666665,Unknown
M Šik,M Šik,217.66666666666669,Unknown
D Nowrouzezahrai,D Nowrouzezahrai,436.76666666666665,Unknown
T Sandholm,T Sandholm,2126.0,Unknown
M Andersson,M Andersson,1727.9999999999998,Unknown
O Shehory,O Shehory,1736.9999999999998,Unknown
F Tohmé,F Tohmé,1720.8,Unknown
A Dafoe,A Dafoe,255.90476190476184,Unknown
Y Bachrach,Y Bachrach,257.57142857142844,Unknown
I Rahwan,I Rahwan,320.0,Unknown
Y Aafer,Yousra Aafer,3386.9880952380945,security
W Du,W Du,1751.3000000000006,Unknown
H Yin,H Yin,1145.0000000000002,Unknown
WC Lee,WC Lee,1720.1071428571427,Unknown
J Zhai,J Zhai,1206.857142857143,Unknown
G Tao,G Tao,378.1,Unknown
H Choi,H Choi,237.35000000000002,Unknown
F Fei,F Fei,211.75,Unknown
Y Zheng,Y Zheng,704.1666666666665,Unknown
Y Ye,Y Ye,970.142857142857,Unknown
MG Zapata,MG Zapata,1186.0,Unknown
M Schunter,M Schunter,1426.6666666666672,Unknown
M Waidner,M Waidner,5013.333333333334,Unknown
P Ginzboorg,P Ginzboorg,1702.7000000000003,Unknown
M Miettinen,M Miettinen,2687.1666666666674,Unknown
S Marchal,S Marchal,2762.233333333334,Unknown
I Hafeez,I Hafeez,983.3333333333333,Unknown
AR Sadeghi,AR Sadeghi,4213.37619047619,Unknown
S Tarkoma,S Tarkoma,1206.1428571428569,Unknown
